Trade ID,Asset,Buy/Sell,Price,Volume,Date,Outcome,Tags,RSI,Volume_Change_Pct,Sentiment_Score
T001,ETH,Sell,2221.004461,30,1/12/2024,Profit,"meme,intraday",67.69,-8.77,-0.76
T002,DOGE,Buy,0.25162617,60000,1/25/2024,Profit,"range-trade,volume-spike",63.08,17.33,1
T003,SOL,Sell,174.4719035,118.6764854,2/7/2024,Neutral,"trend-follow,volume-spike,swing",15.19,0.8,0.41
T004,BTC,Sell,44569.58013,0.73101848,2/18/2024,Loss,"news-sentiment,stop-loss",49.9,-42.77,0.5
T005,DOGE,Buy,0.1383531,21747.96464,2/19/2024,Loss,"stop-loss,swing",16.55,52.06,-0.32
T006,PEPE,Sell,1.42E-05,59425911.13,2/25/2024,Neutral,"event-driven,momentum,rsi-divergence",73.47,-70,0.51
T007,DOGE,Sell,0.24965872,60000,3/5/2024,Neutral,"intraday,long-term",53.67,-10.28,-0.14
T008,DOGE,Buy,0.28032078,39863.95725,3/9/2024,Loss,"stop-loss,event-driven",26.99,61.11,0.27
T009,DOGE,Sell,0.23668281,31442.95612,3/15/2024,Neutral,"event-driven,trend-follow",51.7,36.49,0.89
T010,BTC,Buy,46766.38294,1.13134196,3/19/2024,Neutral,"range-trade,breakout,event-driven",63.15,32.07,-0.26
T011,BTC,Buy,41683.31592,0.94581055,3/20/2024,Loss,"stop-loss,meme,swing",90,54.78,0.04
T012,SOL,Sell,197.1300946,92.11491819,3/23/2024,Neutral,"range-trade,stop-loss",44.86,-22.09,0.02
T013,DOGE,Buy,0.17172855,34116.21978,3/27/2024,Neutral,"long-term,event-driven",50.19,13.91,-0.29
T014,SOL,Sell,144.810186,33.63986281,3/30/2024,Profit,"breakout,event-driven",57.57,44.63,-0.5
T015,PEPE,Buy,6.94E-06,29430910.06,4/2/2024,Loss,"news-sentiment,breakout,trend-follow",55.5,-27.6,-0.16
T016,ETH,Sell,2742.144111,9.50732355,4/13/2024,Loss,"long-term,stop-loss,breakout",80.65,74.78,0.57
T017,BTC,Buy,59028.65305,0.97649418,4/14/2024,Profit,"intraday,breakout,mean-revert",24.13,-12.49,-0.41
T018,ETH,Sell,2343.327693,11.84338156,4/18/2024,Neutral,"rsi-divergence,intraday",55.15,-60.52,0.26
T019,ETH,Sell,3758.118718,8.44644563,4/18/2024,Profit,"event-driven,rsi-divergence",61.56,36.68,-0.25
